"","item_id","image_id","name","description","category","category_name"
0,1,"00000015","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
1,1,"Blackcat-Lilith","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
2,1,"IP000000002","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
3,1,"IP000000003","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
4,1,"IP000000008","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
5,1,"IP000000031","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
6,1,"IP000000042","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
7,1,"IP000000044","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
8,1,"IP000000046","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
9,1,"IP000000047","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
10,1,"IP000000048","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
11,1,"IP000000050","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
12,1,"IP000000061","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
13,1,"IP000000075","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
14,1,"IP000000077","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
15,1,"IP000000099","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
16,1,"IP000000100","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
17,1,"IP000000107","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
18,1,"IP000000114","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
19,1,"IP000000121","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
20,1,"IP000000125","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
21,1,"IP000000134","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
22,1,"IP000000150","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
23,1,"IP000000168","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
24,1,"IP000000169","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
25,1,"IP000000177","Cnaphalocrocis_medinalis","A photo of Rice leaf roller",1,"Rice leaf roller"
